location_resolved,display_date,title,harga,Merek,Model,Varian,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Tipe bodi,Kapasitas mesin,Tipe Penjual,Nama Bursa Mobil
Teras,2022-12-11T09:03:18+0000,Di jual mobil Ayla x 1.2,110000000.0,Daihatsu,Ayla,1.0 X Elegant Bensin-MT,2018,20.000-25.000,Bensin,Oranye,Manual,Compact & City Car,>1.000 - 1.500 cc,Individu,
Argomulyo,2022-12-11T08:03:20+0000,Daihatsu Ayla 1.0 2015 Siap Pakai,88000000.0,Daihatsu,Ayla,1.0 D+ Bensin-MT,2015,65.000-70.000,Bensin,Silver,Manual,Minibus,<1.000 cc,,
Argomulyo,2022-12-11T07:58:16+0000,Daihatsu Taft 1989 Diesel 4X4,90000000.0,Daihatsu,Taft,Taft 4X4-MT,1989,135.000-140.000,Diesel,Biru,Manual,,,Diler,
Serengan,2022-12-11T07:15:07+0000,Xenia tipe X 2017 M/T,148000000.0,Daihatsu,Xenia,1.3 X Bensin-MT,2017,125.000-130.000,Bensin,Silver,Manual,MPV,>1.000 - 1.500 cc,Individu,
Grabag,2022-12-11T07:01:00+0000,Sigra D Manual 2020 Istimewa || DP 7 Juta,102000000.0,Daihatsu,Sigra,1.0 D Bensin-MT,2020,25.000-30.000,Bensin,Silver,Manual,,<1.000 cc,,
Mojosongo,2022-12-11T03:59:01+0000,gran max 1.3 blindvan belum ac ps 2016,59990000.0,Daihatsu,Gran max,1.3 Blind Van Bensin-MT,2016,150.000-155.000,Bensin,Putih,Manual,Minibus,>1.000 - 1.500 cc,Individu,
Argomulyo,2022-12-11T00:29:37+0000,Terios TX a/t 2010 mulus,110000000.0,Daihatsu,Terios,1.5 TX Bensin-AT,2010,125.000-130.000,Bensin,Hitam,Automatic,SUV,>1.000 - 1.500 cc,Individu,
Temanggung,2022-12-10T23:12:27+0000,Xenia 1.3 X Deluxe Manual 2017,142500000.0,Daihatsu,Xenia,1.3 X Bensin-MT,2017,95.000-100.000,Bensin,Hitam,Manual,Minibus,>1.000 - 1.500 cc,Individu,
Klaten Tengah,2022-12-10T11:22:37+0000,Grand Xenia 2017 Silver,145000000.0,Daihatsu,Xenia,1.3 X Deluxe Bensin-MT,2017,130.000-135.000,Bensin,Silver,Manual,Minibus,>1.000 - 1.500 cc,Individu,
Magelang Tengah,2022-12-10T09:38:39+0000,Xenia X Deluxe 2017,142000000.0,Daihatsu,Xenia,1.3 X Deluxe Bensin-MT,2017,105.000-110.000,Bensin,Merah,Manual,Minibus,>1.000 - 1.500 cc,Individu,
Tingkir,2022-12-10T02:19:25+0000,Daihatsu Luxio 1.5 X MT Tahun 2022 STNK dan BPKB atas nama Pembeli,213000000.0,Daihatsu,Luxio,1.5 X Bensin-MT,2022,0-5.000,Bensin,Abu-abu,Manual,MPV,>1.000 - 1.500 cc,Diler,
Teras,2022-12-10T00:08:15+0000,Terios x deluxe at 2018/2019 km.low,200000000.0,Daihatsu,Terios,1.5 EXTRA X Bensin-AT,2018,25.000-30.000,Bensin,Merah,Automatic,MPV,>1.000 - 1.500 cc,Individu,
Magelang Tengah,2022-12-09T06:35:24+0000,Dp 13Jt. AYLA X 2016 MATIC KM 44Rb/ Daihatsu AYLA MATIC 2016,93000000.0,Daihatsu,Ayla,1.0 X Bensin-AT,2016,35.000-40.000,Bensin,Putih,Automatic,Compact & City Car,<1.000 cc,Individu,
Sambi,2022-12-09T04:27:51+0000,Daihatsu Xenia 2021 Hybrid,205000000.0,Daihatsu,Xenia,1.3 R SPORTY Bensin-MT,2021,5.000-10.000,Hybrid,Silver,Manual,MPV,>1.000 - 1.500 cc,Individu,Carsentro Solo
Sidomukti,2022-12-08T17:31:45+0000,Daihatsu Zebra 1993 Bensin,18500000.0,Daihatsu,Zebra,1.3 STD Bensin-MT,1993,35.000-40.000,Bensin,Merah,Manual,,,Individu,
Tingkir,2022-12-08T08:55:03+0000,New Terios R Costum 2018 Matic ( type tertinggi),234000000.0,Daihatsu,Terios,1.5 Custom R Bensin-AT,2018,25.000-30.000,Bensin,Putih,Automatic,MPV,>1.000 - 1.500 cc,Individu,
Sukoharjo,2022-12-08T05:04:08+0000,Daihatsu Ayla 2022 Bensin,138000000.0,Daihatsu,Ayla,1.2 R Deluxe Bensin-MT,2022,5.000-10.000,Bensin,Putih,Manual,,,Diler,
Sukoharjo,2022-12-08T04:41:41+0000,Daihatsu Terios 2022 Bensin,232000000.0,Daihatsu,Terios,1.5 R Bensin-MT,2022,5.000-10.000,Bensin,Coklat,Manual,,,Diler,
Magelang Tengah,2022-12-08T04:01:52+0000,[Dp 19 Jt] Daihatsu All New Xenia 1.3 R Mt 2019 // Mobil Siap Pakai,165000000.0,Daihatsu,Xenia,daihatsu-xenia-66721-r,2019,35.000-40.000,Bensin,Putih,Manual,MPV,>1.000 - 1.500 cc,Diler,
Magelang Tengah,2022-12-08T03:57:19+0000,[Dp 13 Jt] Daihatsu Sigra R Deluxe At 2016 // Mobil Siap Pakai,113000000.0,Daihatsu,Sigra,sigra-1.2-r-deluxe-bensin,2016,65.000-70.000,Bensin,Putih,Automatic,MPV,>1.000 - 1.500 cc,Diler,
Magelang Utara,2022-12-07T08:57:59+0000,Daihatsu Gran max 2013 Bensin,85000000.0,Daihatsu,Gran max,1.3 D Face To Face Bensin-MT,2013,95.000-100.000,Bensin,Hitam,Manual,Minibus,>1.000 - 1.500 cc,Individu,
Klaten Tengah,2022-12-07T03:02:12+0000,(DP 19JT) Daihatsu Xenia 1.3 R Deluxe Manual 2019,165000000.0,Daihatsu,Xenia,1.3 R Deluxe Bensin-MT,2019,35.000-40.000,Bensin,Putih,Manual,MPV,>1.000 - 1.500 cc,Diler,
Laweyan,2022-12-06T04:23:57+0000,[OLX AUTOS] Daihatsu Sigra 1.2 R Bensin Automatic-2020 Putih,127000000.0,Daihatsu,Sigra,daihatsu-sigra-66669-12-r,2020,70.000-75.000,Bensin,Putih,Automatic,MPV,>1.000 - 1.500 cc,,
Serengan,2022-12-06T04:22:42+0000,[OLX AUTOS] Daihatsu Sigra 1.2 R Bensin Automatic-2020 Putih,127000000.0,Daihatsu,Sigra,daihatsu-sigra-66669-12-r,2020,70.000-75.000,Bensin,Putih,Automatic,MPV,>1.000 - 1.500 cc,,
Laweyan,2022-12-05T20:57:47+0000,daihatsu ayla 2020,113000000.0,Daihatsu,Ayla,1.0 D+ Bensin-MT,2020,20.000-25.000,Bensin,Abu-abu,Manual,,<1.000 cc,Individu,
Serengan,2022-12-05T11:16:56+0000,GRAN MAX PICK UP 2017 1.3 full ori ss lengkap,85500000.0,Daihatsu,Gran max Pick-up,Lain-lain-MT,2017,120.000-125.000,Bensin,Biru,Manual,Pick-up,>1.000 - 1.500 cc,Individu,
Klaten Utara,2022-12-05T10:38:43+0000,Daihatsu Terios 2014 Bensin,150500000.0,Daihatsu,Terios,1.5 TX ADVENTURE Bensin-AT,2014,115.000-120.000,Bensin,Putih,Automatic,,,Individu,
Laweyan,2022-12-05T04:01:21+0000,BU Gran Max MB 1.3 mt 2020 asli H tg1,114000000.0,Daihatsu,Gran Max MB,1.3 D Front Facing Bensin-MT,2020,50.000-55.000,Bensin,Silver,Manual,MPV,>1.000 - 1.500 cc,Individu,
Ambarawa,2022-12-05T03:44:24+0000,Xenia X Deluxe Manual 2017 DP 20,145000000.0,Daihatsu,Grand Xenia,1.3 X Deluxe Bensin-MT,2017,55.000-60.000,Bensin,Abu-abu,Manual,Minibus,>1.000 - 1.500 cc,Diler,
Laweyan,2022-12-05T03:44:20+0000,BU Termurah Ayla X 1.0 mt 2017 AD Tg1 Ori Istimewa,95000000.0,Daihatsu,Ayla,1.0 X Bensin-MT,2017,50.000-55.000,Bensin,Putih,Manual,Compact & City Car,<1.000 cc,Individu,
Magelang Selatan,2022-12-05T03:41:07+0000,Dp 13jt DAIHATSU AYLA X ELEGANT 2015 MATIC / Ayla matic,93000000.0,Daihatsu,Ayla,1.0 X Elegant Bensin-AT,2015,65.000-70.000,Bensin,Putih,Automatic,Compact & City Car,>1.000 - 1.500 cc,Diler,
Kalikotes,2022-12-04T15:14:52+0000,Xenia 2016 plt AD 1300cc,127000000.0,Daihatsu,Xenia,1.3 Bensin-MT,2016,120.000-125.000,Bensin,Silver,Manual,Minibus,>1.000 - 1.500 cc,Individu,
Temanggung,2022-12-04T10:20:58+0000,Daihatsu Feroza 1996 Bensin,56000000.0,Daihatsu,Feroza,1.6 Bensin-MT,1996,135.000-140.000,Bensin,Hijau,Manual,,,Individu,
Magelang Utara,2022-12-04T04:27:42+0000,Daihatsu Luxio 1.5 X 2020 Manual tgn 1 km 14rb,208000000.0,Daihatsu,Luxio,1.5 X Bensin-MT,2020,10.000-15.000,Bensin,Putih,Manual,Minibus,>1.000 - 1.500 cc,,
Serengan,2022-12-03T06:11:40+0000,Daihatsu Granmax PU 2020 ACPS,128000000.0,Daihatsu,Gran Max PU,1.5 AC&PS Bensin-MT,2020,85.000-90.000,Bensin,Putih,Manual,,,Diler,
Purworejo,2022-12-03T02:42:46+0000,Dijual Sigra tipe R tahun 2016,114000000.0,Daihatsu,Sigra,1.2 R Bensin-MT,2016,65.000-70.000,Bensin,Abu-abu,Manual,Minibus,>1.000 - 1.500 cc,Individu,
Sukoharjo,2022-12-02T09:49:35+0000,Sigra X 2019 manual Dp 7jt,115000000.0,Daihatsu,Sigra,1.2 X Bensin-MT,2019,30.000-35.000,Bensin,Silver,Manual,Minibus,>1.000 - 1.500 cc,Diler,
Laweyan,2022-12-02T04:43:30+0000,DAIHATSU TERIOS R 2018 MATIC ISTIMEWA,215000000.0,Daihatsu,Terios,daihatsu-terios-66700-r,2018,40.000-45.000,Bensin,Silver,Automatic,MPV,>1.000 - 1.500 cc,Individu,
Grogol,2022-12-02T03:12:58+0000,Terios R 2019 murah tidak murahan,195000000.0,Daihatsu,Terios,1.5 R Bensin-MT,2019,60.000-65.000,Bensin,Abu-abu,Manual,MPV,>1.000 - 1.500 cc,Individu,
Serengan,2022-12-02T00:01:23+0000,PROMO !! DP 15jt New Ayla R Deluxe AT 2020 Tgn pertama KM 20ribuan,135000000.0,Daihatsu,Ayla,ayla-1.2-r-deluxe-bensin,2020,15.000-20.000,Bensin,Abu-abu,Manual,,,Diler,
Delanggu,2022-12-01T20:04:49+0000,Daihatsu Ayla 2016 Bensin,106000000.0,Daihatsu,Ayla,1.0 X Elegant Bensin-AT,2016,85.000-90.000,Bensin,Merah,Automatic,Hatchback,<1.000 cc,Diler,
Laweyan,2022-12-01T10:17:33+0000,"LOW KM! TERIOS R AT 2021, TG1 DARI BARU, NOL SPET, ISTIMEWA",239000000.0,Daihatsu,Terios,1.5 R Bensin-AT,2021,15.000-20.000,Bensin,Hitam,Automatic,MPV,>1.000 - 1.500 cc,Individu,
Purwodadi,2022-12-01T06:50:57+0000,[DP 29 JUTA] DAIHATSU TERIOS R AT MATIC 2019,205000000.0,Daihatsu,Terios,1.5 R Bensin-AT,2019,25.000-30.000,Bensin,Putih,Automatic,MPV,>1.000 - 1.500 cc,Diler,
Klaten Selatan,2022-12-01T04:31:36+0000,Daihatsu Terios 2017 Bensin,175000000.0,Daihatsu,Terios,1.5 R Costum Bensin-MT,2017,35.000-40.000,Bensin,Putih,Manual,,,Individu,
Purworejo,2022-12-01T02:06:49+0000,[DP 25 JUTA] DAIHATSU TERIOS R MT MANUAL 2018,195000000.0,Daihatsu,Terios,1.5 R Bensin-MT,2018,45.000-50.000,Bensin,Putih,Manual,MPV,>1.000 - 1.500 cc,Diler,
Ceper,2022-11-30T12:40:12+0000,Daihatsu Classy 1991 Bensin,25750000.0,Daihatsu,Classy,1.3 Bensin-MT,1991,>300.000,Bensin,Hijau,Manual,,,,
Sukoharjo,2022-11-30T10:45:51+0000,Terios TX MT 2012,138000000.0,Daihatsu,Terios,1.5 TX ELEGANT Bensin-MT,2012,125.000-130.000,Bensin,Putih,Manual,SUV,>1.000 - 1.500 cc,Individu,
Serengan,2022-11-30T07:43:10+0000,Daihatsu Gran max Pick up 1.5 AC powee steering 2015 Bensin,95000000.0,Daihatsu,Gran Max PU,1.5 AC&PS Bensin-MT,2015,85.000-90.000,Bensin,Silver,Manual,Pick-up,>1.000 - 1.500 cc,Diler,Carsentro Solo
Solo Baru,2022-11-30T06:02:25+0000,Ayla 2018 istimewa,125000000.0,Daihatsu,Ayla,1.2 R Deluxe Bensin-AT,2018,65.000-70.000,Bensin,Putih,Automatic,Sedan,>1.000 - 1.500 cc,Individu,
Pedan,2022-11-30T04:23:44+0000,Daihatsu Luxio 1.5 X ABS Matic 2011,117000000.0,Daihatsu,Luxio,1.5 X Bensin-AT,2011,95.000-100.000,Bensin,Hitam,Automatic,MPV,>1.000 - 1.500 cc,Diler,
Sukoharjo,2022-11-30T03:12:46+0000,[Dp 16 Jt] Daihatsu Ayla R Deluxe Manual 2021 // Mobil Siap Pakai,130000000.0,Daihatsu,Ayla,1.2 X Deluxe Bensin-MT,2021,5.000-10.000,Bensin,Kuning,Manual,Compact & City Car,>1.000 - 1.500 cc,Diler,
Magelang Tengah,2022-11-30T02:42:25+0000,daihatsu sigra (2016),113000000.0,Daihatsu,Sigra,1.2 R Deluxe Bensin-AT,2016,65.000-70.000,Bensin,Putih,Automatic,MPV,>1.000 - 1.500 cc,Diler,
Magelang Tengah,2022-11-30T02:35:37+0000,daihatsu sigra (2016),118000000.0,Daihatsu,Sigra,1.2 R Bensin-AT,2016,70.000-75.000,Bensin,Abu-abu,Automatic,MPV,>1.000 - 1.500 cc,Diler,
Bener,2022-11-30T02:10:40+0000,Daihatsu Ayla 1.2 R Deluxe Manual 2021 // BISA KREDIT!!,130000000.0,Daihatsu,Ayla,1.2 R Deluxe Bensin-MT,2021,5.000-10.000,Bensin,Kuning,Manual,Compact & City Car,>1.000 - 1.500 cc,Individu,
Magelang Tengah,2022-11-30T02:02:02+0000,daihatsu ayla (2019),113000000.0,Daihatsu,Ayla,1.2 R Bensin-MT,2019,20.000-25.000,Bensin,Abu-abu,Manual,Compact & City Car,>1.000 - 1.500 cc,Diler,
Magelang Tengah,2022-11-30T01:50:50+0000,daihatsu xenia (2019),165000000.0,Daihatsu,Xenia,1.3 R Bensin-MT,2019,40.000-45.000,Bensin,Putih,Manual,MPV,>1.000 - 1.500 cc,Diler,
Laweyan,2022-11-29T12:34:40+0000,Daihatsu Zebra 1995 Bensin,18500000.0,Daihatsu,Zebra,1.3 Bensin-MT,1995,65.000-70.000,Bensin,Merah,Manual,Minibus,>1.000 - 1.500 cc,Individu,Carsentro Solo
Magelang Tengah,2022-11-29T07:35:55+0000,Daihatsu Xenia (2019),165000000.0,Daihatsu,Xenia,1.3 R Bensin-MT,2019,15.000-20.000,Bensin,Hitam,Manual,MPV,>1.000 - 1.500 cc,Diler,
Magelang Tengah,2022-11-29T07:26:53+0000,Daihatsu Terios (2018),195000000.0,Daihatsu,Terios,1.5 R Bensin-MT,2018,45.000-50.000,Bensin,Putih,Manual,SUV,>1.000 - 1.500 cc,Diler,
Magelang Tengah,2022-11-29T07:23:32+0000,Daihatsu Terios (2019),205000000.0,Daihatsu,Terios,1.5 R Bensin-AT,2019,25.000-30.000,Bensin,Putih,Automatic,SUV,>1.000 - 1.500 cc,Diler,
Purworejo,2022-11-29T06:52:19+0000,(Bisa Kredit) Daihatsu Ayla 1.2 R Deluxe Manual 2021,130000000.0,Daihatsu,Ayla,1.2 R Deluxe Bensin-MT,2021,5.000-10.000,Bensin,Kuning,Manual,Compact & City Car,>1.000 - 1.500 cc,Diler,
Susukan,2022-11-28T13:14:08+0000,Daihatsu feroza sporty,55000000.0,Daihatsu,Feroza,1.5 Bensin,1997,295.000-300.000,Bensin,Hijau,Manual,Jeep,>1.500 - 2.000 cc,Individu,Carsentro Semarang
Laweyan,2022-11-28T07:29:10+0000,Daihatsu Taft 1992 Diesel,87000000.0,Daihatsu,Taft,2.8 Solar,1992,195.000-200.000,Diesel,Lainnya,Manual,,,Individu,
Trucuk,2022-11-28T06:38:58+0000,Daihatsu Taft gt 4x4,125000000.0,Daihatsu,Taft,2.8 Bensin-MT,1995,100.000-105.000,Bensin,Hitam,Manual,Jeep,>2.000 - 3.000 cc,Individu,
Magelang Tengah,2022-11-28T02:00:19+0000,[Dp 19 Jt] Daihatsu All New Xenia 1.3 R Mt 2019 // Mobil Siap Pakai,165000000.0,Daihatsu,Xenia,daihatsu-xenia-66721-r,2019,15.000-20.000,Bensin,Hitam,Manual,MPV,>1.000 - 1.500 cc,Diler,
Magelang Selatan,2022-11-26T19:57:53+0000,Dp 16jt DAIHATSU XENIA 2013 MANUAL / XENIA MANUAL,89000000.0,Daihatsu,Xenia,M 1.0 STD,2013,70.000-75.000,Bensin,Hitam,Manual,Minibus,<1.000 cc,,
Tulung,2022-11-26T19:56:32+0000,Dp 16jt DAIHATSU XENIA 2013 MANUAL / XENIA MANUAL,89000000.0,Daihatsu,Xenia,M 1.0 STD,2013,65.000-70.000,Bensin,Hitam,Manual,Minibus,<1.000 cc,,
Magelang Selatan,2022-11-26T09:37:27+0000,Dp 12jt DAIHATSU GRAND XENIA 2016 MANUAL / XENIA MANUAL,112000000.0,Daihatsu,Xenia,1.0 D Bensin,2016,65.000-70.000,Bensin,Hitam,Manual,Minibus,>1.000 - 1.500 cc,Diler,
Magelang Tengah,2022-11-25T09:46:34+0000,Daihatsu Rocky 2021 Bensin,195000000.0,Daihatsu,Rocky,1.0 R Bensin,2021,5.000-10.000,Bensin,Hitam,Manual,,,Individu,
Teras,2022-11-25T07:12:05+0000,Daihatsu Xenia type R vvti 2013,117000000.0,Daihatsu,Xenia,1.3 R Custom Bensin,2013,80.000-85.000,Bensin,Putih,Manual,Hatchback,>1.000 - 1.500 cc,Individu,
Tulung,2022-11-25T00:39:03+0000,Dp 12jt DAIHATSU GRAND XENIA 2016 MANUAL / XENIA MANUAL,112000000.0,Daihatsu,Xenia,1.0 M Bensin,2016,70.000-75.000,Bensin,Hitam,Manual,Minibus,>1.500 - 2.000 cc,,
Kalikotes,2022-11-24T22:21:47+0000,Ayla R deluxe asli AD super top,124000000.0,Daihatsu,Ayla,1.2 R Deluxe Bensin,2019,15.000-20.000,Bensin,Putih,Manual,Hatchback,>1.000 - 1.500 cc,,
Klaten Utara,2022-11-24T17:39:45+0000,Dp 12jt. Daihatsu Grand xenia 2016 Mt / Xenia Bisa tt sigra,112000000.0,Daihatsu,Xenia,M 1.0 Deluxe,2016,70.000-75.000,Bensin,Hitam,Manual,Minibus,<1.000 cc,,
Mertoyudan,2022-11-24T04:40:34+0000,Grand Max Pick Up 1.5 Ac Ps 2021 oddo 800 perak,142000000.0,Daihatsu,Gran Max PU,gran-max-pu-1.5-ac&ps-bensin,2021,0-5.000,Bensin,Abu-abu,Manual,Pick-up,>1.000 - 1.500 cc,Diler,
Banyudono,2022-11-23T18:04:36+0000,Xenia R sporty 2014 jual cepat,105000000.0,Daihatsu,Xenia,1.3 R SPORTY Bensin-MT,2014,125.000-130.000,Bensin,Merah,Manual,MPV,>1.000 - 1.500 cc,,
Bagelen,2022-11-23T08:13:35+0000,Daihatsu Terios 2013 Bensin,159000000.0,Daihatsu,Terios,1.5 TX Bensin,2013,115.000-120.000,Bensin,Putih,Manual,,,Individu,
Klaten Tengah,2022-11-22T21:32:23+0000,Daihatsu Grandmax 1.5 sdh AC PS tinggal Pake siap Tt,74000000.0,Daihatsu,Gran max,gran-max-1.5-ac&ps-bensin,2008,140.000-145.000,Bensin,Biru,Manual,MPV,>1.000 - 1.500 cc,Diler,
Bonorowo,2022-12-22T01:54:29+0000,Dijual Daihatsu Classy thn 1992,22000000.0,Daihatsu,Classy,1.3 Bensin-MT,1992,190.000-195.000,Bensin,Merah,Manual,Classic Car,>1.000 - 1.500 cc,Individu,
Buluspesantren,2022-12-19T03:02:25+0000,Daihatsu Luxio X 2018 Bisa kredit,165000000.0,Daihatsu,Luxio,1.5 X Bensin-MT,2018,85.000-90.000,Bensin,Putih,Manual,Minibus,>1.000 - 1.500 cc,Individu,Carsentro Yogyakarta
Buluspesantren,2022-12-09T08:06:55+0000,Daihatsu Luxio 2017 Bensin,162500000.0,Daihatsu,Luxio,1.5 X Bensin-MT,2017,45.000-50.000,Bensin,Silver,Manual,,,Individu,
Kalibawang,2022-11-30T01:39:19+0000,Sirion 2018 manual,160000000.0,Daihatsu,Sirion,1.3 D FMC Bensin-MT,2018,20.000-25.000,Bensin,Putih,Manual,Minibus,>1.000 - 1.500 cc,Individu,
Mojolaban,2022-12-22T03:39:21+0000,Luxio x istimewa asli ad.sragen,155000000.0,Daihatsu,Luxio,1.5 X Bensin-MT,2014,80.000-85.000,Bensin,Putih,Manual,Minibus,>1.000 - 1.500 cc,Individu,
Banjarsari,2022-12-22T02:36:22+0000,[OLX AUTOS] Daihatsu Ayla 1.2 X Bensin Automatic-2021 Putih,141000000.0,Daihatsu,Ayla,ayla-1.2-x-bensin,2021,10.000-15.000,Bensin,Putih,Automatic,Compact & City Car,>1.000 - 1.500 cc,,
Jebres,2022-12-22T02:36:08+0000,[OLX AUTOS] Daihatsu Ayla 1.2 X Bensin Automatic-2021 Putih,141000000.0,Daihatsu,Ayla,ayla-1.2-x-bensin,2021,10.000-15.000,Bensin,Putih,Automatic,Compact & City Car,>1.000 - 1.500 cc,,
Pasar Kliwon,2022-12-22T02:35:36+0000,[OLX AUTOS] Daihatsu Ayla 1.2 X Bensin Automatic-2021 Putih,141000000.0,Daihatsu,Ayla,ayla-1.2-x-bensin,2021,10.000-15.000,Bensin,Putih,Automatic,Compact & City Car,>1.000 - 1.500 cc,,
Banjarsari,2022-12-22T00:23:59+0000,DIJUAL CEPAT DAIHATSU XENIA MATIC 1.3 R Deluxe AT 2018 AD Solo Kota,165000000.0,Daihatsu,Xenia,1.3 R Deluxe Bensin-AT,2018,20.000-25.000,Bensin,Hitam,Automatic,MPV,>1.000 - 1.500 cc,Individu,
Jebres,2022-12-21T15:15:31+0000,DAIHATSU LUXIO X AT 2012,129000000.0,Daihatsu,Luxio,1.5 X Bensin-AT,2012,100.000-105.000,Bensin,Hitam,Automatic,MPV,>1.000 - 1.500 cc,Individu,
Banjarsari,2022-12-21T07:43:23+0000,Luxio x 2017 Akir manual,163000000.0,Daihatsu,Luxio,1.5 X Bensin-MT,2017,70.000-75.000,Bensin,Putih,Manual,Minibus,>1.000 - 1.500 cc,Individu,
Banjarsari,2022-12-20T11:04:23+0000,[OLX AUTOS] Daihatsu Sigra 1.2 R Deluxe Bensin Manual-2019 Silver,126000000.0,Daihatsu,Sigra,1.2 R Bensin-MT,2019,10.000-15.000,Bensin,Silver,Manual,MPV,>1.500 - 2.000 cc,,
Banjarsari,2022-12-21T04:35:18+0000,[OLX AUTOS] Daihatsu Sigra 1.2 R Deluxe Bensin Manual 2019,125000000.0,Daihatsu,Sigra,1.2 R Bensin-MT,2019,10.000-15.000,Bensin,Silver,Manual,MPV,>1.500 - 2.000 cc,,
Jebres,2022-12-21T00:18:53+0000,[OLXAutos][DP:7jt] Daihatsu AYLA X ELEGANT 2016 LOW KM #DCARS,97000000.0,Daihatsu,Ayla,1.0 X Elegant Bensin-MT,2016,45.000-50.000,Bensin,Merah,Manual,Compact & City Car,>1.000 - 1.500 cc,Diler,
Jebres,2022-12-19T08:38:17+0000,[Mobil Baru] PROMO XENIA CUCI GUDANG AKHIR TAHUN,200000000.0,Daihatsu,Xenia,,2022,0-5.000,Bensin,Merah,Manual,,,,
Jebres,2022-12-17T14:15:05+0000,Luxio X tertinggi th 2010 Jual Cepat,113000000.0,Daihatsu,Luxio,1.5 X Bensin-AT,2010,170.000-175.000,Bensin,Abu-abu,Automatic,,,,
Jebres,2022-12-20T11:56:10+0000,[OLX AUTOS] Daihatsu Ayla 1.2 R Bensin Manual-2020,128000000.0,Daihatsu,Ayla,1.2 R Bensin-MT,2020,20.000-25.000,Bensin,Putih,Manual,Hatchback,>1.000 - 1.500 cc,,
Banjarsari,2022-12-20T11:54:20+0000,[OLX AUTOS] Daihatsu Ayla 1.2 X Bensin Automatic-2021,141000000.0,Daihatsu,Ayla,1.2 X Bensin-AT,2021,10.000-15.000,Bensin,Merah,Automatic,Hatchback,>1.000 - 1.500 cc,,
Banjarsari,2022-12-20T10:39:38+0000,[DP:24T] TERIOS R CUSTOM 2017 TANGAN 1 DARI BARU LOW KM ORIGINAL,167000000.0,Daihatsu,Terios,1.5 R Costum Bensin-MT,2017,50.000-55.000,Bensin,Putih,Manual,SUV,>1.000 - 1.500 cc,Diler,
Banjarsari,2022-12-20T11:02:09+0000,[OLXAutos][Dp:19jt] DAIHATSU AYLA 1.2 R AT 2021 TANGAN 1 KM7RB #DCARS,139000000.0,Daihatsu,Ayla,1.2 R Deluxe Bensin-AT,2021,5.000-10.000,Bensin,Abu-abu,Automatic,Hatchback,>1.000 - 1.500 cc,Diler,
Jebres,2022-12-20T09:29:40+0000,Daihatsu Ayla 2015 Bensin,89000000.0,Daihatsu,Ayla,1.0 M Bensin-MT,2015,65.000-70.000,Bensin,Merah,Manual,,,Individu,
Banjarsari,2022-12-20T06:52:04+0000,[OLX AUTOS] Daithatsu Terios 1.5 R  Bensin Manual-2021 #flashsale,212000000.0,Daihatsu,Terios,1.5 R Bensin-MT,2021,5.000-10.000,Bensin,Ungu,Manual,MPV,>1.500 - 2.000 cc,,
Banjarsari,2022-12-20T06:06:49+0000,Dijual mobil pribadi grandmax minibus 2011 bensin,65000000.0,Daihatsu,Gran max,1.3 Minibus Bensin-MT,2011,30.000-35.000,Bensin,Silver,Manual,Minibus,>1.000 - 1.500 cc,Individu,
Wonogiri,2022-12-20T04:31:46+0000,Dijual Sigra R Deluxe 2017 Matic,115000000.0,Daihatsu,Sigra,1.2 R DLX Bensin-AT,2017,100.000-105.000,Bensin,Lainnya,Automatic,Compact & City Car,>1.000 - 1.500 cc,Individu,
Banjarsari,2022-12-20T03:29:20+0000,Ayla R 2017 asli AD,123500000.0,Daihatsu,Ayla,1.2 R Bensin-AT,2017,85.000-90.000,Bensin,Silver,Automatic,,,Diler,
Jebres,2022-12-17T13:03:35+0000,Granmax PU 1.5cc 2018 Super Istimewa Pick-Up,103000000.0,Daihatsu,Gran Max PU,1.5 Bensin-MT,2018,5.000-10.000,Bensin,Silver,Manual,,,,
Batuwarno,2022-12-19T11:56:50+0000,Di jual mobil taruna plat AD . 60 juta,60000000.0,Daihatsu,Taruna,1.6 CSX Bensin-MT,2000,165.000-170.000,Bensin,Emas,Manual,SUV,>1.500 - 2.000 cc,Individu,
Polokarto,2022-12-19T07:54:51+0000,[OLX Autos] Daihatsu Xenia 2011 1.3 R Family Bensin M/T Hitam #Otodhem,112000000.0,Daihatsu,Xenia,xenia-1.3-r-family-bensin,2011,110.000-115.000,Bensin,Hitam,Manual,MPV,>1.000 - 1.500 cc,Individu,
Banjarsari,2022-12-19T04:46:05+0000,[OLX AUTOS] Daihatsu Terios 1.5 R Deluxe Bensin Manual-2021 Ungu,228000000.0,Daihatsu,Terios,terios-1.5-r-deluxe-bensin,2021,5.000-10.000,Bensin,Ungu,Manual,MPV,>1.000 - 1.500 cc,,
Jebres,2022-12-19T04:45:47+0000,[OLX AUTOS] Daihatsu Terios 1.5 R Deluxe Bensin Manual-2021 Ungu,228000000.0,Daihatsu,Terios,terios-1.5-r-deluxe-bensin,2021,5.000-10.000,Bensin,Ungu,Manual,MPV,>1.000 - 1.500 cc,,
Jebres,2022-12-02T04:47:36+0000,[Mobil Baru] PROMO AYLA CUCI GUDANG AKHIR TAHUN,990000000.0,Daihatsu,Ayla,,2022,0-5.000,Bensin,Kuning,Manual,,,,
